Date,Open,High,Low,Close,Volume
1998-01-02,97.3125,97.65625,96.53125,97.5625,2360900
1998-01-05,97.84375,98.4375,96.78125,97.78125,4191800
1998-01-06,97.25,97.28125,96.1875,96.21875,3154900
1998-01-07,96.09375,96.71875,95.21875,96.46875,4424200
1998-01-08,96.3125,96.3125,95.375,95.625,3831000
1998-01-09,95.25,95.5,91.90625,92.3125,10258800
1998-01-12,91.125,94.1875,90.90625,94.0,12097900
1998-01-13,94.625,95.375,94.21875,95.3125,5224900
1998-01-14,95.6875,95.96875,94.71875,95.75,3770400
1998-01-15,95.5,95.75,94.8125,94.953125,2875400
1998-01-16,96.25,96.6875,95.65625,96.3125,4374800
1998-01-20,96.6875,98.015625,96.5,97.875,5091700
1998-01-21,97.21875,97.6875,96.15625,96.9375,4699400
1998-01-22,96.15625,96.875,95.875,96.078125,4543400
1998-01-23,96.5,96.78125,95.0,95.9375,6350300
1998-01-26,96.375,96.734375,95.40625,95.875,4362900
1998-01-27,95.8125,97.5,95.65625,96.84375,7044200
1998-01-28,97.40625,98.109375,97.1875,97.71875,4268600
1998-01-29,97.84375,99.5625,97.5625,98.25,8007700
1998-01-30,98.78125,98.96875,98.0,98.3125,3649100
1998-02-02,99.90625,100.5,99.75,99.9375,5756300
1998-02-03,100.0,100.8125,99.71875,100.6875,2759600
1998-02-04,100.28125,101.15625,99.9375,100.5625,3374000
1998-02-05,101.3125,101.59375,100.03125,100.5,5076200
1998-02-06,101.0,101.625,100.6875,101.625,5701200
1998-02-09,101.71875,101.75,100.71875,101.28125,2322200
1998-02-10,101.4375,102.46875,101.1875,102.25,3660400
1998-02-11,102.09375,102.34375,101.703125,102.15625,4073200
1998-02-12,101.71875,102.9375,100.875,102.59375,5024700
1998-02-13,102.1875,102.515625,101.875,102.0,2101300
1998-02-17,102.8125,103.09375,102.15625,102.5,3055500
1998-02-18,102.3125,103.484375,102.28125,103.4375,3007400
1998-02-19,103.25,103.40625,102.75,102.890625,3387800
1998-02-20,103.15625,103.71875,102.375,103.65625,3707000
1998-02-23,104.25,104.25,103.34375,104.0625,3227800
1998-02-24,103.90625,104.09375,102.9375,103.25,3386800
1998-02-25,103.75,104.875,103.625,104.53125,3481800
1998-02-26,104.4375,105.21875,104.1875,105.125,3187600
1998-02-27,104.96875,105.53125,104.53125,105.125,3442900
1998-03-02,105.25,105.75,104.625,104.90625,4252300
1998-03-03,104.53125,105.625,104.53125,105.5,3349200
1998-03-04,105.09375,105.40625,104.4375,104.8125,4404100
1998-03-05,103.5,104.4375,103.15625,103.84375,7268000
1998-03-06,104.5625,105.9375,104.4375,105.9375,6896300
1998-03-09,105.53125,106.21875,105.25,105.5625,3362800
1998-03-10,106.21875,106.84375,105.9375,106.5625,5481900
1998-03-11,106.96875,107.3125,106.78125,107.0625,3439600
1998-03-12,107.09375,107.59375,106.5,107.5,3191300
1998-03-13,107.84375,108.0,106.875,107.09375,2879400
1998-03-16,107.84375,108.375,107.53125,108.25,3223600
1998-03-17,108.3125,108.5625,107.65625,108.5625,4581900
1998-03-18,108.25,108.96875,108.03125,108.96875,1944100
1998-03-19,108.96875,109.375,108.65625,109.25,2554800
1998-03-20,109.5625,110.1875,108.875,109.875,3123300
1998-03-23,109.71875,110.3125,109.40625,109.625,4453100
1998-03-24,110.0625,110.8125,109.9375,110.5625,3333600
1998-03-25,111.40625,111.53125,109.1875,110.15625,4597600
1998-03-26,109.875,110.75,109.625,110.09375,3333500
1998-03-27,110.75,110.78125,109.0,109.625,2611300
1998-03-30,109.625,110.09375,108.96875,109.5625,3108700
1998-03-31,110.15625,111.1875,109.75,109.9375,5926500
1998-04-01,110.3125,111.078125,109.40625,110.828125,2929000
1998-04-02,110.9375,112.25,110.75,112.03125,3920900
1998-04-03,112.34375,112.8125,111.84375,112.59375,3787600
1998-04-06,113.25,113.375,111.6875,111.6875,4550500
1998-04-07,111.75,111.9375,110.15625,110.9375,5583700
1998-04-08,111.21875,111.28125,109.75,110.3125,4854800
1998-04-09,110.5625,111.28125,110.53125,111.1875,4481200
1998-04-13,111.375,111.375,110.0,110.875,4350200
1998-04-14,111.125,111.8125,110.90625,111.8125,3279100
1998-04-15,111.96875,112.125,111.15625,112.125,3867200
1998-04-16,111.3125,111.5,110.5,110.8125,7177900
1998-04-17,110.71875,112.4375,110.4375,112.28125,5688800
1998-04-20,112.0,112.5625,111.875,112.25,3688300
1998-04-21,112.4375,113.15625,111.90625,112.78125,4573200
1998-04-22,112.875,113.4375,112.8125,113.09375,2386100
1998-04-23,112.625,113.0,111.75,112.0,5062000
1998-04-24,111.75,112.46875,110.34375,110.8125,11039700
1998-04-27,109.375,109.6875,107.625,108.71875,14510200
1998-04-28,109.78125,109.8125,108.125,108.5625,6511400
1998-04-29,109.03125,109.96875,108.4375,109.3125,7703100
1998-04-30,110.5625,111.921875,110.40625,111.34375,8684500
1998-05-01,111.75,112.59375,111.3125,112.59375,4008800
1998-05-04,112.71875,113.3125,112.15625,112.3125,4537200
1998-05-05,112.0,112.15625,111.125,111.53125,5146400
1998-05-06,112.125,112.125,110.1875,110.21875,5526100
1998-05-07,110.5,110.5625,109.34375,109.34375,6940400
1998-05-08,110.0,111.375,110.0,111.125,7951000
1998-05-11,111.5625,112.21875,110.375,110.75,6336300
1998-05-12,110.8125,111.96875,110.34375,111.9375,6045200
1998-05-13,112.0625,112.5625,111.59375,112.21875,4441500
1998-05-14,111.53125,112.6875,111.34375,111.65625,4187500
1998-05-15,112.0,112.21875,110.8125,111.03125,6716100
1998-05-18,110.71875,111.59375,109.828125,110.59375,4847200
1998-05-19,111.0,111.6875,110.78125,111.34375,5918700
1998-05-20,112.09375,112.5,110.875,112.40625,5716600
1998-05-21,112.375,112.78125,111.3125,111.6875,6301500
1998-05-22,111.75,112.0625,110.9375,111.25,4862200
1998-05-26,112.09375,112.09375,109.1875,109.46875,6899300
1998-05-27,108.53125,109.90625,107.578125,109.625,10202600
1998-05-28,109.875,110.375,109.0625,110.125,4907600
1998-05-29,110.625,110.8125,109.03125,109.03125,4772600
1998-06-01,108.96875,110.21875,108.5625,109.53125,6092200
1998-06-02,110.0,110.34375,109.15625,109.625,6701100
1998-06-03,109.875,110.1875,107.875,107.875,6445100
1998-06-04,108.25,110.0625,108.0625,109.875,6566300
1998-06-05,110.375,112.0,109.875,112.0,8463200
1998-06-08,111.9375,112.46875,111.65625,111.875,4159900
1998-06-09,111.71875,112.421875,111.40625,112.21875,2725300
1998-06-10,111.625,113.0625,111.25,111.5,6186900
1998-06-11,111.4375,111.875,109.375,109.40625,8056600
1998-06-12,109.875,110.4375,108.25,110.4375,9779000
1998-06-15,108.8125,109.90625,107.5,107.53125,10234200
1998-06-16,108.40625,109.21875,107.75,109.1875,7471500
1998-06-17,110.15625,111.78125,109.9375,111.46875,12057700
1998-06-18,111.1875,111.4375,110.75,110.96875,3844600
1998-06-19,111.0625,111.234375,109.625,110.0625,3549100
1998-06-22,110.25,111.0625,110.0625,110.59375,5438300
1998-06-23,111.09375,112.0625,111.0,111.90625,5004600
1998-06-24,112.15625,113.6875,111.609375,113.40625,8291900
1998-06-25,113.90625,114.4375,112.8125,113.21875,5854800
1998-06-26,113.3125,113.84375,113.125,113.6875,4833100
1998-06-29,114.25,114.6875,113.796875,114.09375,5953400
1998-06-30,113.90625,114.1875,113.0625,113.3125,4284800
1998-07-01,114.0625,114.9375,113.625,114.625,3489500
1998-07-02,114.71875,114.875,114.25,114.84375,3503900
1998-07-06,114.78125,116.0,114.5625,116.0,3144400
1998-07-07,115.984375,116.125,115.28125,115.78125,4920700
1998-07-08,115.875,116.9375,115.75,116.625,6875000
1998-07-09,116.28125,116.71875,115.625,115.84375,6942500
1998-07-10,116.03125,116.9375,115.0625,116.46875,7849700
1998-07-13,116.5625,116.84375,116.0625,116.5,6555100
1998-07-14,116.9375,118.15625,116.9375,117.8125,6983600
1998-07-15,118.0625,118.28125,117.53125,117.59375,4977500
1998-07-16,117.6875,118.59375,117.0625,118.40625,6315600
1998-07-17,118.625,119.0,118.3125,118.5625,3539500
1998-07-20,118.75,119.234375,117.9375,118.5625,2338400
1998-07-21,119.0,119.0,116.28125,116.5,5518600
1998-07-22,116.34375,116.984375,115.53125,116.5,10417300
1998-07-23,116.3125,116.59375,113.90625,114.1875,15110900
1998-07-24,114.96875,115.09375,112.875,114.09375,11540500
1998-07-27,113.625,115.0,112.84375,114.90625,9600000
1998-07-28,114.4375,114.65625,111.875,112.96875,13693000
1998-07-29,113.71875,114.125,112.25,112.53125,7462400
1998-07-30,113.625,114.59375,113.40625,114.21875,6821600
1998-07-31,114.34375,114.5,111.3125,111.78125,7680500
1998-08-03,111.78125,112.421875,111.03125,111.3125,10486500
1998-08-04,112.21875,112.21875,107.0,107.0,15091600
1998-08-05,107.9375,108.875,105.59375,108.46875,21718400
1998-08-06,108.125,109.5,107.5625,108.9375,13084400
1998-08-07,109.6875,110.59375,108.46875,109.125,12083800
1998-08-10,108.75,109.65625,108.1875,108.5,6273000
1998-08-11,106.78125,107.4375,105.5,106.875,14287100
1998-08-12,107.75,108.875,107.5,108.6875,11158400
1998-08-13,108.8125,109.65625,107.375,107.375,9073900
1998-08-14,108.34375,108.71875,105.78125,106.125,8628500
1998-08-17,106.0,108.9375,105.5,108.375,11290000
1998-08-18,109.0,110.59375,108.78125,110.375,7603900
1998-08-19,111.09375,111.09375,109.625,110.09375,6258600
1998-08-20,109.6875,110.40625,109.15625,109.4375,7402800
1998-08-21,108.1875,108.71875,105.5,108.5625,16685400
1998-08-24,109.25,109.9375,108.3125,109.25,7201700
1998-08-25,110.375,111.25,108.640625,109.5,9688300
1998-08-26,108.28125,109.625,107.75,108.875,9339700
1998-08-27,107.0,107.5625,103.46875,103.75,24887800
1998-08-28,104.96875,105.71875,102.15625,103.375,23735900
1998-08-31,103.75,104.015625,95.0,96.0,22563100
1998-09-01,96.0625,100.5625,93.625,100.0625,24748500
1998-09-02,99.8125,101.75,98.78125,99.34375,13843200
1998-09-03,97.625,99.375,96.75,98.5625,17311300
1998-09-04,99.4375,99.8125,95.75,97.75,17783800
1998-09-08,100.875,103.0,99.8125,103.0,14746500
1998-09-09,102.75,103.125,100.4375,100.5,12109700
1998-09-10,98.4375,99.34375,96.8125,98.5,19889300
1998-09-11,98.1875,101.6875,97.0,101.6875,20379800
1998-09-14,102.875,104.453125,102.09375,103.4375,10686800
1998-09-15,102.875,104.3125,102.28125,104.0625,8337900
1998-09-16,104.75,105.25,103.15625,105.0,11024900
1998-09-17,102.25,103.03125,101.78125,102.0,12945200
1998-09-18,102.375,102.40625,101.09375,102.09375,7019200
1998-09-21,99.625,103.40625,98.9375,102.03125,8834600
1998-09-22,103.5,103.65625,102.15625,102.875,7270100
1998-09-23,103.875,107.0,103.78125,107.0,13688500
1998-09-24,106.3125,106.8125,103.25,104.375,11129500
1998-09-25,103.125,105.421875,102.625,104.25,10247400
1998-09-28,105.3125,106.3125,104.25,105.1875,8847800
1998-09-29,105.375,105.9375,103.375,104.9375,10618100
1998-09-30,103.5,104.3125,101.375,101.75,7908400
1998-10-01,100.03125,101.546875,98.09375,98.8125,13335600
1998-10-02,98.875,100.875,97.21875,100.71875,14351800
1998-10-05,99.59375,99.96875,96.34375,98.6875,12807200
1998-10-06,100.75,101.28125,97.53125,98.59375,12621000
1998-10-07,98.625,100.03125,95.75,97.125,14348500
1998-10-08,94.5625,96.75,92.21875,96.59375,20625000
1998-10-09,97.0,98.78125,94.0625,98.53125,12708500
1998-10-12,100.625,101.4375,99.6875,99.96875,9508500
1998-10-13,99.5625,100.40625,98.75,99.625,6256800
1998-10-14,98.9375,101.8125,98.84375,100.5625,8176900
1998-10-15,100.125,107.25,99.9375,105.96875,20541100
1998-10-16,106.125,106.75,105.0,106.0,16573900
1998-10-19,105.6875,106.8125,105.5,106.375,7915900
1998-10-20,107.5625,108.796875,106.09375,107.0,14611600
1998-10-21,106.875,107.625,105.875,106.625,9178400
1998-10-22,106.78125,108.46875,106.15625,108.21875,8277500
1998-10-23,107.96875,108.0,106.78125,106.84375,6237200
1998-10-26,107.71875,108.46875,106.78125,107.625,5838600
1998-10-27,108.4375,108.96875,106.28125,107.0,10089700
1998-10-28,106.5625,107.53125,106.03125,106.8125,5650600
1998-10-29,107.09375,109.4375,106.625,109.40625,9625600
1998-10-30,110.125,110.90625,109.5,110.0,9872800
1998-11-02,110.8125,111.875,110.1875,111.875,6501400
1998-11-03,111.59375,111.8125,110.75,111.0625,6866000
1998-11-04,112.46875,113.09375,111.09375,112.25,8233600
1998-11-05,111.53125,113.9375,111.125,113.78125,6841500
1998-11-06,113.46875,114.5625,113.3125,114.125,5224800
1998-11-09,113.9375,114.25,112.5,113.3125,6188700
1998-11-10,113.0,113.9375,112.25,113.0,14015200
1998-11-11,113.8125,114.0,111.890625,112.25,10922400
1998-11-12,112.3125,113.125,111.6875,112.125,5457400
1998-11-13,112.21875,113.21875,112.125,113.21875,5524600
1998-11-16,114.21875,114.359375,112.890625,114.0625,6023700
1998-11-17,113.65625,115.625,113.0,114.0625,9058900
1998-11-18,114.3125,115.0,113.5,114.75,4567700
1998-11-19,115.28125,115.90625,114.625,115.75,5249300
1998-11-20,116.359375,116.75,115.84375,116.625,5562000
1998-11-23,117.46875,119.625,117.15625,119.375,7151300
1998-11-24,119.0,119.65625,118.453125,118.625,5323700
1998-11-25,118.9375,119.1875,118.21875,118.625,4393500
1998-11-27,119.46875,119.71875,119.015625,119.5,4557900
1998-11-30,119.015625,119.375,116.125,116.125,8705400
1998-12-01,116.125,118.03125,115.21875,117.625,8950600
1998-12-02,117.21875,117.90625,116.0,117.28125,7495500
1998-12-03,117.25,118.3125,115.09375,115.34375,12145300
1998-12-04,116.625,118.5,116.5,118.375,10339500
1998-12-07,118.0625,119.46875,118.0,118.9375,4290000
1998-12-08,118.53125,119.75,117.5,118.40625,10102600
1998-12-09,118.6875,118.96875,117.875,118.625,5327900
1998-12-10,118.84375,118.84375,116.71875,116.890625,5966600
1998-12-11,116.4375,117.34375,115.5625,117.125,8198200
1998-12-14,116.15625,116.40625,113.75,113.75,9521400
1998-12-15,114.6875,116.75,114.53125,116.6875,9631500
1998-12-16,117.125,117.125,115.75,116.53125,7260000
1998-12-17,117.21875,118.59375,117.03125,118.390625,6914700
1998-12-18,118.3125,119.125,117.875,118.5,4802400
1998-12-21,119.25,121.34375,119.0,120.15625,8580700
1998-12-22,120.40625,121.21875,119.1875,120.6875,5461100
1998-12-23,121.1875,123.21875,120.8125,123.21875,7791000
1998-12-24,123.15625,123.25,122.5,122.6875,1507100
1998-12-28,123.25,123.3125,122.0,122.375,4203600
1998-12-29,122.71875,124.484375,122.125,124.3125,3935800
1998-12-30,123.9375,124.75,123.03125,123.3125,6810700
1998-12-31,123.3125,123.9375,122.46875,123.3125,6790500
1999-01-04,123.375,125.21875,121.71875,123.03125,9450400
1999-01-05,122.9375,124.875,122.9375,124.4375,8031000
1999-01-06,125.8125,127.75,125.75,127.4375,7737700
1999-01-07,126.375,127.21875,125.78125,126.8125,5504900
1999-01-08,128.1875,128.5,125.96875,127.75,6224400
1999-01-11,127.6875,127.6875,125.21875,126.53125,7578300
1999-01-12,126.21875,126.21875,123.75,124.25,7768800
1999-01-13,120.40625,125.125,120.375,123.375,10810600
1999-01-14,123.625,123.90625,120.90625,121.21875,11400700
1999-01-15,122.375,124.78125,122.0625,124.375,7817700
1999-01-19,125.296875,125.625,123.5,125.1875,6535100
1999-01-20,126.09375,127.9375,125.03125,126.1875,6534400
1999-01-21,125.578125,125.84375,122.59375,122.84375,6937500
1999-01-22,122.125,123.84375,121.78125,122.5625,7522300
1999-01-25,123.28125,124.0,121.90625,123.8125,5700300
1999-01-26,124.125,126.0625,123.625,126.0625,6047000
1999-01-27,126.375,126.625,124.15625,124.59375,7399400
1999-01-28,125.25,126.96875,125.1875,126.6875,5961700
1999-01-29,127.34375,128.296875,125.40625,127.65625,6456800
1999-02-01,128.6875,128.6875,126.90625,126.90625,9426800
1999-02-02,127.078125,127.21875,124.765625,126.125,9194500
1999-02-03,125.6875,127.9375,125.65625,127.40625,10290700
1999-02-04,127.375,127.5,124.78125,125.5,7761100
1999-02-05,125.65625,125.65625,123.21875,124.0625,7516100
1999-02-08,125.09375,125.09375,123.34375,124.3125,8528400
1999-02-09,124.375,124.5,121.515625,121.53125,8985700
1999-02-10,122.125,123.0,121.328125,122.3125,6936700
1999-02-11,123.0625,126.09375,122.5,125.125,9181800
1999-02-12,124.8125,125.5,122.625,123.625,10676600
1999-02-16,124.75,125.625,122.875,122.875,6915500
1999-02-17,123.1875,125.359375,122.25,122.75,7858100
1999-02-18,123.1875,124.375,122.21875,123.71875,9048900
1999-02-19,124.0,125.75,123.375,124.25,5312200
1999-02-22,124.4375,127.71875,124.28125,127.5625,10695800
1999-02-23,127.59375,128.5,126.59375,127.5,7770700
1999-02-24,127.84375,128.84375,125.0,125.25,7271000
1999-02-25,124.53125,125.28125,122.6875,124.0625,11633000
1999-02-26,124.75,124.84375,122.8125,123.5625,9621300
